Branch Name,Types,Business Status,City,Province,Region,Address,Latitude,Longitude,Rating,User Ratings Count,Place ID,Google Maps Link
UnionBank of the Philippines - Baliwag,Bank,OPERATIONAL,Baliwag,Bulacan,Central Luzon,"17 Pinagbarilan St Unit 3, 3006 Augustine Square, Doña Remedios Trinidad Hwy, Baliwag, 3006, Philippines",14.9554132,120.8869344,2.1,38,ChIJC1V02wAAlzMRFnTg--mL5DQ,https://www.google.com/maps/place/?q=place_id:ChIJC1V02wAAlzMRFnTg--mL5DQ
UnionBank of the Philippines - Meycauayan,Bank,OPERATIONAL,Meycauayan,Bulacan,Central Luzon,"PXP6+HFX Marian Building, G/F MacArthur Hwy, Cawario, Meycauayan, 3020 Bulacan, Philippines",14.7365013,120.9612907,2.5,29,ChIJVZ5T5rSzlzMRLO4kc4PN7xw,https://www.google.com/maps/place/?q=place_id:ChIJVZ5T5rSzlzMRLO4kc4PN7xw
Union Bank Subsidiary City Savings,Bank,OPERATIONAL,San Jose del Monte,Bulacan,Central Luzon,"R37F+QC8, Quirino Hwy, SJDM, Bulacan, Philippines",14.8143905,121.0735821,,,ChIJKQZGVXuvlzMR7qxZFN0Lh_w,https://www.google.com/maps/place/?q=place_id:ChIJKQZGVXuvlzMR7qxZFN0Lh_w
UnionBank of the Philippines - Valenzuela-Fatima,Bank,OPERATIONAL,Valenzuela,NCR,NCR,"Manila North Road Marulas, Km 12, MacArthur Hwy, Valenzuela, 1440, Philippines",14.6806213,120.9794194,3,21,ChIJFQYFrBu0lzMRCzXYb7FGBVQ,https://www.google.com/maps/place/?q=place_id:ChIJFQYFrBu0lzMRCzXYb7FGBVQ
Unionbank ATM,ATM,OPERATIONAL,Meycauayan,Bulacan,Central Luzon,"PXP6+HFX, MacArthur Hwy, Cawario, Meycauayan, 3020 Bulacan, Philippines",14.7364841,120.9612446,5,2,ChIJPUsP57SzlzMR_LjxWX4waUI,https://www.google.com/maps/place/?q=place_id:ChIJPUsP57SzlzMR_LjxWX4waUI
UnionBank of the Philippines - Malinta,Bank,OPERATIONAL,Valenzuela,NCR,NCR,"Mirjan Building, 295 Paso de Blas Road, Maysan Rd, Valenzuela, 1440, Philippines",14.7075369,120.9922545,2.3,15,ChIJb73ntF6xlzMR-Gbqzx08uaA,https://www.google.com/maps/place/?q=place_id:ChIJb73ntF6xlzMR-Gbqzx08uaA
UnionBank of the Philippines - Clark Pampanga,Bank,OPERATIONAL,Mabalacat City,Pampanga,Central Luzon,"Manuel A. Roxas Highway Philexcel Business Park, Clark Freeport, Mabalacat City, 2010, Philippines",15.1735327,120.5358676,2.8,45,ChIJ_ciku6nyljMReKo7-_9ftS8,https://www.google.com/maps/place/?q=place_id:ChIJ_ciku6nyljMReKo7-_9ftS8
Union Bank,ATM,OPERATIONAL,San Fernando,Pampanga,Central Luzon,"3M Bldg, MacArthur Hwy, San Fernando, 2000 Pampanga, Philippines",15.0479101,120.667614,1.8,6,ChIJG042fuD2ljMRz0BfJIwTVWE,https://www.google.com/maps/place/?q=place_id:ChIJG042fuD2ljMRz0BfJIwTVWE
UnionBank of the Philippines - Malabon Acacia,Bank,OPERATIONAL,Malabon,NCR,NCR,"31 B. Rivera Street, Cor Gov. Pascual Ave, Malabon, 1474, Philippines",14.6697068,120.9698736,3.3,19,ChIJe2Rcrj60lzMRtOQ9R-CjIYo,https://www.google.com/maps/place/?q=place_id:ChIJe2Rcrj60lzMRtOQ9R-CjIYo
UnionBank of the Philippines - Edsa-Kalookan,Bank,OPERATIONAL,Caloocan,NCR,NCR,"512 Epifano de los Santos Avenue, cor Urbano Plata Rd, St, Caloocan, 1403, Philippines",14.6569179,120.9927436,2.8,14,ChIJn_Mp7oO2lzMRYjfpOKiHMfE,https://www.google.com/maps/place/?q=place_id:ChIJn_Mp7oO2lzMRYjfpOKiHMfE
