Branch Name,Types,Business Status,City,Province,Region,Address,Latitude,Longitude,Rating,User Ratings Count,Place ID,Google Maps Link
BDO Taft Avenue - Estrada St Branch,Bank,OPERATIONAL,Manila,NCR,NCR,"2422 Taft Ave, Malate, 1004 Metro Manila, Philippines",14.5656914,120.9939271,2.2,22,ChIJMamPz3jJlzMRBpMlVAmK0Uk,https://www.google.com/maps/place/?q=place_id:ChIJMamPz3jJlzMRBpMlVAmK0Uk
BDO Taft Avenue - J. Nakpil Branch,Bank,OPERATIONAL,Manila,NCR,NCR,"1747 Taft Avenue corner J, Julio Nakpil, Manila, 1004, Philippines",14.5739376,120.9893183,4.6,9,ChIJcx0iLxDJlzMRYLoV1_kJ0lY,https://www.google.com/maps/place/?q=place_id:ChIJcx0iLxDJlzMRYLoV1_kJ0lY
BDO Padre Faura - A. Mabini Branch,Bank,OPERATIONAL,Manila,NCR,NCR,"Zone 72, District 5, G/F BDO Building Padre Faura, corner A. Mabini St, Ermita, Manila, Philippines",14.5775391,120.9814149,2.7,36,ChIJ5WQsLi_KlzMRbKk49W_5CtU,https://www.google.com/maps/place/?q=place_id:ChIJ5WQsLi_KlzMRbKk49W_5CtU
BDO UN Avenue - Times Plaza Branch,Bank,OPERATIONAL,Manila,NCR,NCR,"Units 16 & 17 G/F, Units SC-3A & SC-8B 2F, Times Plaza Bldg U.N. Avenue, corner Taft Ave, Ermita, Manila, 1000 Metro Manila, Philippines",14.5822109,120.9838886,2.6,7,ChIJ7YXn6njLlzMRL_WLvi8yLv4,https://www.google.com/maps/place/?q=place_id:ChIJ7YXn6njLlzMRL_WLvi8yLv4
BDO Malate - Adriatico Branch,Bank,OPERATIONAL,Manila,NCR,NCR,"Adriatico Executive Center, Adriatico St, Ermita, Manila, 1004 Metro Manila, Philippines",14.5693843,120.986568,3.8,31,ChIJb10SvCrKlzMR0w2PlWlixAU,https://www.google.com/maps/place/?q=place_id:ChIJb10SvCrKlzMR0w2PlWlixAU
BDO - Intramuros,Bank,OPERATIONAL,Manila,NCR,NCR,"G/F, Chamber of Commerce Bldg, 3 Magallanes Dr, Intramuros, Manila, 1002 Metro Manila, Philippines",14.5945757,120.9761568,2.4,20,ChIJOSgdYBfKlzMRBsUSNucP18g,https://www.google.com/maps/place/?q=place_id:ChIJOSgdYBfKlzMRBsUSNucP18g
BDO Marikina Heights Branch,Bank,OPERATIONAL,Quezon City,NCR,NCR,"G/F Commercial Unit No. 108-110 Puregold & Ayala Malls Marikina, Liwasang Kalayaan, Brgy, Marikina, 1800 Metro Manila, Philippines",14.6485413,121.1160047,3,34,ChIJd5TN1-C5lzMRHtYyzWTLTn0,https://www.google.com/maps/place/?q=place_id:ChIJd5TN1-C5lzMRHtYyzWTLTn0
BDO Marikina - Nangka Branch,Bank,OPERATIONAL,Marikina,NCR,NCR,"G/F Unit 1, Citi Centre Bldg 2 J.P. Rizal Ave, cor Puerto Rico Ave, Marikina, 1808 Metro Manila, Philippines",14.6707918,121.1087961,3.6,18,ChIJe8_bQom5lzMRHoqta57CPQs,https://www.google.com/maps/place/?q=place_id:ChIJe8_bQom5lzMRHoqta57CPQs
BDO Marikina - Calumpang Branch,Bank,OPERATIONAL,Marikina,NCR,NCR,"Florida 1 Bldg. JP Rizal, cor M. A. Roxas St, Marikina, 1800 Metro Manila, Philippines",14.6227773,121.0929095,3.8,12,ChIJ6QZTEju4lzMRztkBbSBA_VU,https://www.google.com/maps/place/?q=place_id:ChIJ6QZTEju4lzMRztkBbSBA_VU
BDO Marikina - J. P. Rizal Branch,Bank,OPERATIONAL,Marikina,NCR,NCR,"265 J. P. Rizal St, Marikina, 1800 Metro Manila, Philippines",14.6317513,121.0951742,3.8,6,ChIJb-vPlDO4lzMRRYL-ku0sKmg,https://www.google.com/maps/place/?q=place_id:ChIJb-vPlDO4lzMRRYL-ku0sKmg
BDO - Marikina Xeland Gil Fernando Ave Branch,Bank,OPERATIONAL,Marikina,NCR,NCR,"Brgy, LS1-04 Xeland, Mayor Gil Fernando Ave, Marikina, Metro Manila, Philippines",14.6371663,121.1016922,4.4,14,ChIJZQzg4W-5lzMRb_5BWBF1EhA,https://www.google.com/maps/place/?q=place_id:ChIJZQzg4W-5lzMRb_5BWBF1EhA
BDO SM City Marikina Branch,ATM,OPERATIONAL,Marikina,NCR,NCR,"G/F SM City Marikina Barangay, Marikina, Metro Manila, Philippines",14.6258479,121.0844917,3.1,23,ChIJmX2EGSa4lzMROKGmTa9VXJQ,https://www.google.com/maps/place/?q=place_id:ChIJmX2EGSa4lzMROKGmTa9VXJQ
BDO Marikina - Parang Branch,Bank,OPERATIONAL,Marikina,NCR,NCR,"105 Gen. B. G. Molina St, Marikina, 1809 Metro Manila, Philippines",14.6597383,121.1138275,1.4,10,ChIJJ47-kA-5lzMRAYmtwcOxwvE,https://www.google.com/maps/place/?q=place_id:ChIJJ47-kA-5lzMRAYmtwcOxwvE
BDO Marikina - Lamuan Branch,Bank,OPERATIONAL,Marikina,NCR,NCR,"J. P. Rizal St. near cor, Malaya St, Brgy. Lamuan, Marikina, 1800, Philippines",14.6493946,121.0984259,2.6,27,ChIJxzJZMMe5lzMRcLjp4MazYdI,https://www.google.com/maps/place/?q=place_id:ChIJxzJZMMe5lzMRcLjp4MazYdI
BDO Marikina - Tañong Branch,Bank,OPERATIONAL,Marikina,NCR,NCR,"223 A. Bonifacio Ave, Marikina, 1803 Metro Manila, Philippines",14.6353004,121.0882768,3.7,6,ChIJNyD3Iy24lzMR2Ri44ovAv0Q,https://www.google.com/maps/place/?q=place_id:ChIJNyD3Iy24lzMR2Ri44ovAv0Q
Banco De Oro - G. Fernando Branch,Bank,OPERATIONAL,Marikina,NCR,NCR,"J3MV+2JG, G. Fernando, Marikina, 1800 Metro Manila, Philippines",14.6325509,121.0940775,2,1,ChIJByXfqzO4lzMRE2XoCbvmJIo,https://www.google.com/maps/place/?q=place_id:ChIJByXfqzO4lzMRE2XoCbvmJIo
BDO ATM - Marikina – Concepcion,Bank,OPERATIONAL,Marikina,NCR,NCR,"17 Bayan-Bayanan Ave, Marikina, 1800 Metro Manila, Philippines",14.6508166,121.106221,2.8,12,ChIJ00gX6b65lzMRk5CDHooC7iM,https://www.google.com/maps/place/?q=place_id:ChIJ00gX6b65lzMRk5CDHooC7iM
